bear#1,bear#2,time,low,est,high,sex,season_breeding,timestart,timestop,pair1_ess_before,pair2_ess_before,pair1_ess_after,pair2_ess_after
EVGM113,EVGF109,2022-05-17 19:00:10,99.59962248,100.3811472,101.1641751,F_M,other,2022-05-02 13:01:06,2022-09-25 17:01:02,1.1729973860869765,12.07829559209546,8.428810545553295,85.10029433647811
EVGM113,EVGF84,2021-11-05 11:00:37,313.7364546,314.0118537,314.2873125,F_M,hunting,2021-09-28 23:00:38,2021-11-16 0:00:16,12.81740411261642,23.06706163995805,2.3466538307584837,16.854695469180204
EVGM113,EVGF84,2022-06-06 9:00:33,18.85071875,21.23022983,23.6777019,F_M,breeding,2022-04-24 23:04:08,2022-09-25 17:00:16,4.374662933647563,8.630584339205953,7.739455243968984,31.593210750494112
EVGM113,EVGM110,2022-08-11 21:00:12,213.9784094,217.1010908,220.2348868,M_M,other,2022-05-02 13:01:06,2022-09-25 17:00:20,8.519023669638882,18.86379445647707,2.928183467533595,6.3027077932315985
EVGF96,EVGF109,2022-08-24 3:00:40,30.30225736,174.4717021,380.9218482,F_F,other,2022-04-21 13:00:54,2022-09-25 16:00:21,3.4248217195939943,95.3590473480374,1.8715064817589633,10.708543449123852
EVGF96,EVGM110,2022-08-18 7:00:25,47.17523503,226.1785205,473.382018,F_M,other,2022-04-23 13:02:29,2022-09-25 16:00:21,3.5511265086359547,21.370082689061075,2.054407452680545,4.73140511328615
EVGF70,EVGF66,2017-10-13 12:00:00,35.6070401,35.6070401,35.6070401,F_F,hunting,2017-09-17 6:01:00,2017-11-01 7:00:00,18.820693538385353,3.354679041398414,10.951638558254148,6.019542997915661
EVGF70,EVGF66,2018-05-25 18:00:00,233.2758521,233.2758521,233.2758521,F_F,other,2018-04-25 18:00:00,2018-07-21 12:00:00,1.3889753378069958,2.4405397185533406,14.216812452213055,20.425088960024222
EVGF109,EVGF84,2022-06-13 21:00:38,288.2673916,289.5483925,290.8307922,F_F,breeding,2022-04-21 15:00:38,2022-09-25 17:01:02,45.80357962919052,11.247343717469034,66.58469994985057,28.601266822573365
EVGF109,EVGM110,2020-10-03 4:01:00,144.1927615,144.1927652,144.1927689,F_M,hunting,2020-09-28 22:00:00,2020-10-30 18:01:00,2.542361515941595,2.313841243454349,9.814699686667344,10.058633498129078
EVGF109,EVGM110,2021-10-11 1:00:11,109.2534976,109.5161073,109.7788724,F_M,hunting,2021-09-22 23:00:14,2021-11-01 23:01:32,12.801109962902952,8.664131287367061,29.866678356758896,2.0720868627653264
EVGF109,EVGM110,2022-06-15 21:00:36,10.56992751,12.0346063,13.54486259,F_M,breeding,2022-04-18 15:02:30,2022-09-25 17:00:20,46.96576463212551,9.348900707425544,64.00532485188371,16.669479597304953
EVGF84,EVGM110,2022-06-02 9:00:17,216.6461709,229.5990829,242.734931,F_M,breeding,2022-04-23 13:02:29,2022-09-25 17:00:20,8.556942919287064,4.825002868575045,28.522903049711324,21.871395908221963
EVGM106,EVGF66,2020-09-27 2:00:16,207.5310955,208.6324206,209.7351811,F_M,hunting,2020-09-20 22:00:14,2020-11-12 17:00:29,1.592144607374204,1,4.706807906261352,24.50594172530067
